InsightID,CustomerID,ProductID,OrderID,PointsEarned,PointsRedeemed,TransactionDate
66,342,2,58,33,30,2023-03-07
67,212,32,199,385,300,2023-03-08
68,46,27,77,324,168,2023-03-09
69,429,10,100,164,48,2023-03-10
70,5,39,84,169,256,2023-03-11
71,109,19,250,316,191,2023-03-12
72,159,21,192,261,255,2023-03-13
73,3,14,465,285,199,2023-03-14
74,118,8,292,161,199,2023-03-15
75,299,13,320,291,130,2023-03-16
76,431,9,54,213,139,2023-03-17
77,352,47,9,495,195,2023-03-18
78,325,38,390,224,101,2023-03-19
79,350,27,360,191,288,2023-03-20
80,492,3,415,73,4,2023-03-21
81,424,41,198,10,253,2023-03-22
82,397,49,14,389,69,2023-03-23
83,68,47,439,75,201,2023-03-24
84,93,32,209,186,136,2023-03-25
85,457,44,437,422,153,2023-03-26
86,194,22,138,58,269,2023-03-27
87,88,48,131,350,142,2023-03-28
88,103,18,490,428,68,2023-03-29
89,218,22,168,57,197,2023-03-30
90,456,41,396,121,263,2023-03-31
91,372,31,366,147,35,2023-04-01
92,319,7,262,381,300,2023-04-02
93,434,1,415,231,30,2023-04-03
94,272,50,279,314,191,2023-04-04
95,500,2,288,260,241,2023-04-05
96,21,24,46,29,149,2023-04-06
97,466,42,107,337,112,2023-04-07
98,92,18,181,494,53,2023-04-08
99,9,27,378,219,230,2023-04-09
100,459,44,406,17,279,2023-04-10
101,17,38,341,384,86,2023-04-11
102,310,15,35,200,272,2023-04-12
103,360,25,178,57,74,2023-04-13
104,69,15,17,244,83,2023-04-14
105,142,37,411,367,178,2023-04-15
106,143,45,128,155,172,2023-04-16
107,138,5,257,108,12,2023-04-17
108,394,38,331,180,253,2023-04-18
109,306,7,349,247,245,2023-04-19
110,498,42,426,213,97,2023-04-20
111,210,18,208,263,38,2023-04-21
112,102,38,387,17,91,2023-04-22
113,40,2,47,140,298,2023-04-23
114,43,26,311,197,112,2023-04-24
115,12,19,335,432,214,2023-04-25
116,154,46,34,485,76,2023-04-26
117,112,24,262,73,252,2023-04-27
118,276,26,40,478,15,2023-04-28
119,270,12,317,254,204,2023-04-29
120,343,24,157,176,83,2023-04-30
121,10,25,19,319,110,2023-05-01
122,342,39,199,158,268,2023-05-02
123,167,38,15,395,37,2023-05-03
124,359,46,296,326,202,2023-05-04
125,271,8,476,450,29,2023-05-05
126,33,48,410,112,283,2023-05-06
127,471,36,455,302,296,2023-05-07
128,273,49,482,123,12,2023-05-08
129,166,28,262,319,86,2023-05-09
130,118,22,203,42,260,2023-05-10
131,313,17,211,107,247,2023-05-11
132,277,22,417,182,156,2023-05-12
133,37,7,51,142,149,2023-05-13
134,229,40,178,422,281,2023-05-14
135,248,12,427,14,280,2023-05-15
136,246,29,490,122,246,2023-05-16
137,284,16,402,252,60,2023-05-17
138,452,13,110,221,298,2023-05-18
139,478,7,337,449,8,2023-05-19
140,294,29,435,233,12,2023-05-20
141,366,45,411,182,100,2023-05-21
142,491,11,386,277,177,2023-05-22
143,322,1,254,384,28,2023-05-23
144,290,44,398,78,92,2023-05-24
145,225,40,428,263,268,2023-05-25
146,289,12,408,399,292,2023-05-26
147,296,23,90,81,230,2023-05-27
148,238,48,19,48,37,2023-05-28
149,122,4,36,336,266,2023-05-29
150,400,48,97,275,164,2023-05-30
151,400,20,281,365,163,2023-05-31
152,297,16,71,307,256,2023-06-01
153,414,11,286,139,183,2023-06-02
154,56,6,138,362,175,2023-06-03
155,279,35,297,110,139,2023-06-04
156,491,48,225,386,188,2023-06-05
157,281,21,118,189,225,2023-06-06
158,25,31,95,176,285,2023-06-07
159,305,40,202,154,104,2023-06-08
160,332,6,245,53,223,2023-06-09
161,426,37,62,220,16,2023-06-10
162,20,38,139,445,171,2023-06-11
163,29,21,417,283,187,2023-06-12
164,218,2,138,54,213,2023-06-13
165,310,3,434,266,48,2023-06-14
166,470,21,381,438,100,2023-06-15
167,210,8,333,339,66,2023-06-16
168,477,7,213,218,246,2023-06-17
169,464,27,495,129,280,2023-06-18
170,246,31,36,139,230,2023-06-19
171,106,25,322,93,154,2023-06-20
172,13,37,335,79,287,2023-06-21
173,166,23,479,130,181,2023-06-22
174,3,18,287,105,278,2023-06-23
175,224,39,414,58,89,2023-06-24
176,350,37,262,129,18,2023-06-25
177,303,37,459,155,118,2023-06-26
178,107,3,195,141,146,2023-06-27
179,402,16,191,29,172,2023-06-28
180,254,41,314,297,41,2023-06-29
181,300,18,49,61,233,2023-06-30
182,422,13,51,412,69,2023-07-01
183,47,43,75,219,219,2023-07-02
184,293,43,472,155,257,2023-07-03
185,54,47,328,324,46,2023-07-04
186,143,36,150,324,98,2023-07-05
187,448,1,405,413,34,2023-07-06
188,317,48,113,176,262,2023-07-07
189,209,41,227,409,88,2023-07-08
190,66,34,455,63,36,2023-07-09
191,363,32,406,43,137,2023-07-10
192,146,43,303,213,200,2023-07-11
193,98,1,348,381,106,2023-07-12
194,355,49,99,48,257,2023-07-13
195,16,33,105,470,268,2023-07-14
196,384,2,256,284,42,2023-07-15
197,379,1,97,94,167,2023-07-16
198,93,5,320,349,63,2023-07-17
199,222,12,104,20,4,2023-07-18
200,282,42,101,350,298,2023-07-19
201,113,24,137,257,83,2023-07-20
202,357,30,222,325,78,2023-07-21
203,486,32,130,122,7,2023-07-22
204,192,36,280,104,65,2023-07-23
205,346,7,279,499,78,2023-07-24
206,29,50,385,229,95,2023-07-25
207,343,26,122,226,149,2023-07-26
208,74,11,131,156,95,2023-07-27
209,204,36,294,315,110,2023-07-28
210,478,47,246,418,293,2023-07-29
211,483,48,319,209,20,2023-07-30
212,234,30,316,233,91,2023-07-31
213,202,12,409,259,167,2023-08-01
214,52,24,71,52,167,2023-08-02
215,197,30,340,80,211,2023-08-03
216,409,11,391,155,262,2023-08-04
217,154,5,350,44,264,2023-08-05
218,31,30,250,445,90,2023-08-06
219,140,2,127,69,290,2023-08-07
220,118,30,15,240,162,2023-08-08
221,73,25,330,235,264,2023-08-09
222,195,40,170,377,149,2023-08-10
223,296,6,39,475,74,2023-08-11
224,470,4,321,155,200,2023-08-12
225,339,50,484,245,233,2023-08-13
226,89,30,247,422,60,2023-08-14
227,165,38,471,494,90,2023-08-15
228,392,6,208,333,132,2023-08-16
229,113,8,94,312,80,2023-08-17
230,261,37,240,176,188,2023-08-18
231,32,10,17,292,225,2023-08-19
232,188,43,18,130,156,2023-08-20
233,206,29,226,416,122,2023-08-21
234,482,11,365,139,22,2023-08-22
235,212,47,114,97,229,2023-08-23
236,15,37,115,253,199,2023-08-24
237,122,3,433,433,4,2023-08-25
238,38,8,320,445,157,2023-08-26
239,191,3,277,14,96,2023-08-27
240,339,28,432,428,259,2023-08-28
241,84,24,367,233,46,2023-08-29
242,251,22,451,62,125,2023-08-30
243,428,8,331,465,179,2023-08-31
244,379,24,390,373,119,2023-09-01
245,278,27,120,343,93,2023-09-02
246,51,32,359,95,134,2023-09-03
247,365,40,208,126,46,2023-09-04
248,279,7,3,361,172,2023-09-05
249,398,4,433,20,87,2023-09-06
250,51,13,330,264,298,2023-09-07
251,460,8,124,252,42,2023-09-08
252,247,12,242,284,49,2023-09-09
253,268,30,477,346,38,2023-09-10
254,186,1,419,418,286,2023-09-11
255,241,32,413,336,35,2023-09-12
256,334,27,111,199,294,2023-09-13
257,11,35,262,189,110,2023-09-14
258,83,9,399,268,204,2023-09-15
259,437,39,278,332,127,2023-09-16
260,270,41,353,309,280,2023-09-17
261,92,2,262,385,184,2023-09-18
262,468,47,360,306,54,2023-09-19
263,225,9,367,358,41,2023-09-20
264,106,45,197,245,263,2023-09-21
265,359,47,328,408,169,2023-09-22
266,256,44,379,173,277,2023-09-23
267,68,26,418,340,168,2023-09-24
268,219,8,181,152,217,2023-09-25
269,153,8,270,123,198,2023-09-26
270,460,33,251,388,117,2023-09-27
271,259,35,458,31,238,2023-09-28
272,32,15,424,395,22,2023-09-29
273,413,46,43,282,35,2023-09-30
274,239,16,19,430,39,2023-10-01
275,85,39,405,325,15,2023-10-02
276,97,2,255,179,225,2023-10-03
277,435,8,451,57,176,2023-10-04
278,249,43,127,449,61,2023-10-05
279,37,50,405,476,145,2023-10-06
280,68,6,468,93,58,2023-10-07
281,198,3,61,236,38,2023-10-08
282,294,50,103,171,74,2023-10-09
283,464,42,264,79,96,2023-10-10
284,463,40,240,329,114,2023-10-11
285,56,21,66,283,272,2023-10-12
286,115,13,153,233,20,2023-10-13
287,447,24,341,242,249,2023-10-14
288,210,8,59,378,60,2023-10-15
289,391,21,300,419,102,2023-10-16
290,253,9,374,351,102,2023-10-17
291,154,21,361,51,232,2023-10-18
292,334,15,339,342,125,2023-10-19
293,155,38,341,74,295,2023-10-20
294,271,4,279,251,74,2023-10-21
295,63,44,285,85,111,2023-10-22
296,37,34,381,45,126,2023-10-23
297,370,35,32,484,99,2023-10-24
298,225,32,488,447,88,2023-10-25
299,218,7,343,229,106,2023-10-26
300,355,38,170,152,40,2023-10-27
301,382,9,21,248,120,2023-10-28
302,417,43,144,35,80,2023-10-29
303,195,44,71,434,239,2023-10-30
304,98,38,469,288,59,2023-10-31
305,72,21,333,178,274,2023-11-01
306,180,31,301,268,157,2023-11-02
307,476,10,441,222,235,2023-11-03
308,39,33,35,31,182,2023-11-04
309,464,12,262,271,75,2023-11-05
310,10,32,161,154,93,2023-11-06
311,134,42,397,402,85,2023-11-07
312,353,23,195,375,128,2023-11-08
313,355,9,269,301,132,2023-11-09
314,117,3,239,349,151,2023-11-10
315,162,45,294,390,278,2023-11-11
316,44,11,314,418,155,2023-11-12
317,414,45,297,150,116,2023-11-13
318,75,18,148,433,75,2023-11-14
319,478,23,38,300,92,2023-11-15
320,343,22,53,378,9,2023-11-16
321,113,16,491,386,29,2023-11-17
322,259,18,243,359,231,2023-11-18
323,209,38,184,14,87,2023-11-19
324,28,27,484,298,252,2023-11-20
325,482,19,384,80,64,2023-11-21
326,145,42,110,447,63,2023-11-22
327,4,21,407,139,169,2023-11-23
328,393,40,385,353,189,2023-11-24
329,448,2,11,83,223,2023-11-25
330,38,47,51,382,97,2023-11-26
331,396,43,430,472,42,2023-11-27
332,306,31,263,156,137,2023-11-28
333,218,19,194,239,98,2023-11-29
334,446,10,265,235,81,2023-11-30
335,305,44,300,317,283,2023-12-01
336,35,17,98,264,252,2023-12-02
337,195,13,431,163,36,2023-12-03
338,270,2,293,16,238,2023-12-04
339,285,32,171,262,293,2023-12-05
340,281,50,459,72,238,2023-12-06
341,23,20,220,77,151,2023-12-07
342,417,47,432,98,16,2023-12-08
343,371,49,234,69,202,2023-12-09
344,315,31,470,35,182,2023-12-10
345,35,1,175,422,14,2023-12-11
346,405,7,137,137,142,2023-12-12
347,389,24,204,220,113,2023-12-13
348,59,47,381,29,103,2023-12-14
349,99,16,248,111,42,2023-12-15
350,33,39,396,204,121,2023-12-16
351,355,42,375,374,79,2023-12-17
352,213,36,41,110,196,2023-12-18
353,369,16,222,49,230,2023-12-19
354,313,25,462,266,62,2023-12-20
355,298,13,284,119,39,2023-12-21
356,378,42,373,157,194,2023-12-22
357,296,50,131,283,155,2023-12-23
358,390,25,382,273,281,2023-12-24
359,423,7,99,320,133,2023-12-25
360,20,12,98,288,277,2023-12-26
361,454,17,497,412,253,2023-12-27
362,207,7,66,116,222,2023-12-28
363,163,19,79,325,251,2023-12-29
364,301,11,333,386,294,2023-12-30
365,361,36,188,217,88,2023-12-31
366,200,9,497,424,117,2024-01-01
367,337,37,325,358,243,2024-01-02
368,3,48,250,82,28,2024-01-03
369,252,30,480,473,49,2024-01-04
370,275,27,483,386,162,2024-01-05
371,155,25,352,473,86,2024-01-06
372,192,27,184,52,62,2024-01-07
373,242,15,393,343,220,2024-01-08
374,365,36,233,71,36,2024-01-09
375,29,6,465,481,244,2024-01-10
376,486,47,130,322,79,2024-01-11
377,129,6,154,231,203,2024-01-12
378,446,28,385,307,90,2024-01-13
379,406,21,25,131,26,2024-01-14
380,2,20,227,418,269,2024-01-15
381,152,32,168,169,119,2024-01-16
382,145,27,181,299,256,2024-01-17
383,128,49,454,15,92,2024-01-18
384,91,27,306,60,40,2024-01-19
385,337,23,125,425,209,2024-01-20
386,153,26,184,480,90,2024-01-21
387,497,31,9,245,85,2024-01-22
388,487,26,326,357,169,2024-01-23
389,113,16,69,306,140,2024-01-24
390,287,3,112,263,181,2024-01-25
391,49,8,37,190,221,2024-01-26
392,352,19,180,324,119,2024-01-27
393,453,21,219,220,147,2024-01-28
394,98,34,88,39,88,2024-01-29
395,328,4,375,32,271,2024-01-30
396,493,21,99,107,288,2024-01-31
397,120,20,42,269,216,2024-02-01
398,230,21,200,71,47,2024-02-02
399,447,32,295,282,125,2024-02-03
400,213,5,167,33,90,2024-02-04
401,423,40,133,431,103,2024-02-05
402,60,37,295,86,269,2024-02-06
403,459,9,178,194,161,2024-02-07
404,4,3,433,183,149,2024-02-08
405,262,40,412,109,10,2024-02-09
406,67,46,94,24,210,2024-02-10
407,88,7,448,370,106,2024-02-11
408,50,26,198,450,147,2024-02-12
409,413,16,346,117,166,2024-02-13
410,404,1,464,148,240,2024-02-14
411,95,19,382,84,95,2024-02-15
412,199,15,423,62,127,2024-02-16
413,282,20,485,86,259,2024-02-17
414,424,7,1,191,10,2024-02-18
415,281,47,291,70,41,2024-02-19
416,340,25,362,470,285,2024-02-20
417,101,27,432,426,275,2024-02-21
418,226,18,381,419,219,2024-02-22
419,493,5,77,25,29,2024-02-23
420,472,50,403,452,140,2024-02-24
421,488,45,445,15,167,2024-02-25
422,411,1,49,339,18,2024-02-26
423,245,15,23,316,10,2024-02-27
424,101,19,241,50,244,2024-02-28
425,120,36,11,150,201,2024-02-29
426,34,2,483,387,205,2024-03-01
427,156,5,117,430,112,2024-03-02
428,69,46,257,149,209,2024-03-03
429,394,33,408,233,189,2024-03-04
430,392,38,116,302,72,2024-03-05
431,316,18,364,457,212,2024-03-06
432,400,10,237,254,154,2024-03-07
433,29,15,451,170,187,2024-03-08
434,218,14,380,83,187,2024-03-09
435,141,16,176,201,36,2024-03-10
436,442,19,470,62,191,2024-03-11
437,150,50,457,324,82,2024-03-12
438,270,5,442,273,37,2024-03-13
439,288,6,418,118,185,2024-03-14
440,429,15,182,116,267,2024-03-15
441,139,30,223,293,117,2024-03-16
442,282,5,283,335,194,2024-03-17
443,317,2,439,105,23,2024-03-18
444,449,32,177,74,54,2024-03-19
445,347,49,168,421,111,2024-03-20
446,474,9,406,453,74,2024-03-21
447,242,49,304,302,192,2024-03-22
448,204,23,397,356,83,2024-03-23
449,364,28,118,464,109,2024-03-24
450,131,25,35,438,56,2024-03-25
451,282,42,144,159,251,2024-03-26
452,173,22,159,82,122,2024-03-27
453,194,50,387,85,96,2024-03-28
454,341,30,337,157,200,2024-03-29
455,448,9,456,387,93,2024-03-30
456,371,40,68,324,3,2024-03-31
457,368,42,2,40,193,2024-04-01
458,39,39,105,107,258,2024-04-02
459,382,1,418,436,28,2024-04-03
460,303,49,389,119,12,2024-04-04
461,427,13,431,373,49,2024-04-05
462,50,28,175,98,240,2024-04-06
463,432,14,499,205,89,2024-04-07
464,448,49,146,367,289,2024-04-08
465,243,42,345,339,295,2024-04-09
466,35,5,236,402,237,2024-04-10
467,66,18,71,144,10,2024-04-11
468,172,34,482,162,95,2024-04-12
469,188,8,488,295,132,2024-04-13
470,36,39,83,122,242,2024-04-14
471,490,20,454,27,260,2024-04-15
472,212,30,64,88,137,2024-04-16
473,359,44,382,78,268,2024-04-17
474,142,25,444,461,108,2024-04-18
475,371,46,261,111,180,2024-04-19
476,205,13,364,359,213,2024-04-20
477,93,25,347,203,262,2024-04-21
478,158,16,420,23,36,2024-04-22
479,461,7,295,306,45,2024-04-23
480,263,27,259,441,289,2024-04-24
481,156,4,387,244,265,2024-04-25
482,300,5,45,57,42,2024-04-26
483,429,21,79,228,218,2024-04-27
484,30,22,198,66,190,2024-04-28
485,268,20,209,500,266,2024-04-29
486,157,44,201,371,266,2024-04-30
487,267,11,22,458,116,2024-05-01
488,78,9,235,296,29,2024-05-02
489,244,40,340,334,34,2024-05-03
490,99,2,423,32,226,2024-05-04
491,429,16,299,199,198,2024-05-05
492,223,41,154,222,240,2024-05-06
493,325,45,195,133,262,2024-05-07
494,342,42,56,72,155,2024-05-08
495,22,43,92,59,152,2024-05-09
496,465,6,105,295,90,2024-05-10
497,361,19,441,248,65,2024-05-11
498,354,3,286,76,17,2024-05-12
499,107,15,182,86,76,2024-05-13
500,149,12,207,290,81,2024-05-14
